UNIVERSE,ASSET CLASS,CATEGORY,SUB-CATEGORY,AMC,ETF,BENCHMARK INDEX,website_link,SYMBOL,BSE TICKER,ISIN CODE,LAUNCH DATE,AUM(Crores),EXPENSE RATIO,OVERALL TRACKING ERROR,OVERALL TRACKING DIFFERENCE,YEARS ACTIVE
NSE,EQUITY,BROADER,Nifty Total Market,Angel One Mutual Fund,Angel One Nifty Total Market ETF,Nifty Total Market TRI,https://www.angelone.in/mutual-funds/mf-schemes/angel-one-nifty-total-market-etf-direct-plan,AONETOTAL,,INF1J2R01015,28-02-2025,43.86,0.28,0.03,,0.74
,DEBT,LIQUID,,Angel One Mutual Fund,Angel One Nifty 1D Rate Liquid ETF,Nifty 1D Rate Index,https://www.angelone.in/mutual-funds/mf-schemes/angel-one-nifty-1d-rate-liquid-etf-direct-plan,AONELIQUID,,INF1J2R01056,28-03-2025,230.34,0.27,0.04,,0.73
,COMMODITIES,GOLD,,Angel One Mutual Fund,Angel One Gold ETF,Domestic Price of Gold,https://www.angelone.in/mutual-funds/mf-schemes/angel-one-gold-etf,AONEGOLD,,INF1J2R01114,10-09-2025,42.51,0,0.61,,0.26
NSE,EQUITY,BROADER,Nifty 50,Angel One Mutual Fund,Angel One Nifty 50 ETF,Nifty 50 TRI,https://www.angelone.in/mutual-funds/mf-schemes/angel-one-nifty-50-etf-direct-plan,AONENIFTY,,INF1J2R01064,28-05-2025,13.42,0.09,0.06,,0.55
NSE,EQUITY,STRATEGIC,Nifty Total Market Factor Indices,Angel One Mutual Fund,Angel One Nifty Total Market Momentum Quality 50 ETF,Nifty Total Market Momentum Quality 50 TRI,https://www.angelone.in/mutual-funds/mf-schemes/angel-one-nifty-total-market-momentum-quality-50-etf,AONETMMQ50,,INF1J2R01148,03-11-2025,5.57,0.34,,,0.11
NSE,EQUITY,BROADER,Nifty 50,Axis Mutual Fund,Axis Nifty 50 ETF,Nifty 50 TRI,https://www.axismf.com/mutual-funds/etfs/axis-nifty-50-etf/ne-gp,AXISNIFTY,,INF846K01W98,03-07-2017,1101,0.04,0.03,0.02,8.36
BSE,EQUITY,BROADER,BSE Sensex,Axis Mutual Fund,Axis S&P BSE SENSEX ETF,S&P BSE Sensex TRI,https://www.axismf.com/mutual-funds/etfs/axis-bse-sensex-etf/pe-gp,AXSENSEX,543853,INF846K010Q0,29-03-2023,136,0.04,0.03,-0.26,2.64
NSE,EQUITY,STRATEGIC,Nifty 500 Factor Indices,Axis Mutual Fund,Axis Nifty500 Value 50 ETF,Nifty 500 Value 50 TRI,https://www.axismf.com/mutual-funds/etfs/axis-nifty500-value-50-etf/ve-gp,AXISVALUE,544382,INF846KA1119,20-03-2025,15.22,0.25,0.79,1.21,0.68
NSE,EQUITY,SECTORAL,BANK,Axis Mutual Fund,Axis NIFTY Bank ETF,Nifty Bank TRI,https://www.axismf.com/mutual-funds/etfs/axis-nifty-bank-etf/be-gp,AXISBNKETF,,INF846K01X63,09-11-2020,387.91,0.2,0.04,0.44,5.08
NSE,EQUITY,SECTORAL,HEALTHCARE,Axis Mutual Fund,Axis NIFTY Healthcare ETF,Nifty Healthcare TRI,https://www.axismf.com/mutual-funds/etfs/axis-nifty-healthcare-etf/he-gp,AXISHCETF,543348,INF846K01Z12,21-05-2021,20.22,0.34,0.03,-0.67,4.55
NSE,EQUITY,SECTORAL,IT,Axis Mutual Fund,Axis NIFTY IT ETF,Nifty IT TRI,https://www.axismf.com/mutual-funds/etfs/axis-nifty-it-etf/te-gp,AXISTECETF,543347,INF846K01Y96,31-03-2021,187.05,0.23,0.06,-0.79,4.69
NSE,EQUITY,THEMATIC,India Cosumption,Axis Mutual Fund,Axis NIFTY India Consumption ETF,Nifty India Consumption TRI,https://www.axismf.com/mutual-funds/etfs/axis-nifty-india-consumption-etf/ce-gp,AXISCETF,543357,INF846K016C7,23-09-2021,14.71,0.38,0.03,-0.35,4.21
,COMMODITIES,GOLD,,Axis Mutual Fund,AXIS Gold Exchange Traded Fund,Domestic Price of Gold,https://www.axismf.com/mutual-funds/other-funds/axis-gold-etf/ag-dg/direct,AXISGOLD,533570,INF846K01W80,20-10-2010,2898.98,0.56,0.24,-1.33,15.15
,COMMODITIES,SILVER,,Axis Mutual Fund,Axis Silver ETF,Domestic Price of Physical Silver,https://www.axismf.com/mutual-funds/etfs/axis-silver-etf/sf-gp,AXISILVER,,INF846K011K1,02-09-2022,720.88,0.37,0.58,-1.28,3.27
,DEBT,SDL,,Axis Mutual Fund,Axis Nifty AAA Bond Plus SDL Apr 2026 50-50 ETF,Nifty AAA Bond Plus SDL Apr 2026 50:50 Index,https://www.axismf.com/mutual-funds/etfs/axis-nifty-aaa-bond-plus-sdl-apr-2026-50:50-etf/se-gp,AXISBPSETF,,INF846K01Z04,18-05-2021,1101.79,0.28,0.22,0.08,4.58
NSE,EQUITY,SECTORAL,BANK,Bajaj Finserv Mutual Fund,Bajaj Finserv Nifty Bank ETF,Nifty Bank TRI,https://www.bajajfinserv.in/investments/bajaj-finserv-nifty-bank-etf,BANKBETF,544093,INF0QA701714,29-01-2024,360.84,0.13,0.05,-0.16,1.85
,DEBT,LIQUID,,Bajaj Finserv Mutual Fund,Bajaj Finserv Nifty 1D Rate Liquid ETF Growth,Nifty 1D Rate Index,https://www.bajajfinserv.in/investments/bajaj-finserv-nifty-1d-rate-liquid-etf,LIQUIDBETF,544182,INF0QA701854,13-05-2024,456.95,0.19,0.1,-0.36,1.58
NSE,EQUITY,BROADER,Nifty 50,Bajaj Finserv Mutual Fund,Bajaj Finserv Nifty 50 ETF,Nifty 50 TRI,https://www.bajajamc.com/mutual-funds/etf/bajaj-finserv-nifty-50-etf,NIFTYBETF,,INF0QA701722,29-01-2024,197.72,0.07,0.04,-0.08,1.88
NSE,EQUITY,BROADER,Nifty 50,Bandhan Mutual Fund,Bandhan Nifty 50 ETF,Nifty 50 TRI,https://hubmobile.bandhanamc.com/etf/,IDFNIFTYET,,INF194KA1U07,07-10-2016,21,0.09,0.03,-0.24,9.1
,COMMODITIES,SILVER,,Bandhan Mutual Fund,Bandhan Silver ETF,Domestic Price of Physical Silver,https://bandhanmutual.com/campaign/nfo/,SILVERBND,,INF194KB1KI9,12-12-2025,,0,,,0.01
,COMMODITIES,GOLD,,Bandhan Mutual Fund,Bandhan Gold ETF,Domestic Price of Gold,https://bandhanmutual.com/campaign/nfo/,GOLDBND,,INF194KB1KJ7,12-12-2025,,0,,,0.01
NSE,EQUITY,SECTORAL,BANK,Baroda BNP Paribas Mutual Fund,Baroda BNP Paribas Nifty Bank ETF,Nifty Bank TRI,https://www.barodabnpparibasmf.in/efactsheet/Sep2025/Innerpages/NIFTY-BANK-ETF.html,BBNPNBETF,544196,INF251K01TL6,24-06-2024,3.5,0.09,0.09,-0.27,1.45
,COMMODITIES,GOLD,,Baroda BNP Paribas Mutual Fund,Baroda BNP Paribas Gold ETF,Domestic Price of Gold,https://www.barodabnpparibasmf.in/mutual-fund-schemes/etf-funds/baroda-bnp-paribas-gold-etf/regular-growth,BBNPPGOLD,544043,INF251K01SU9,13-12-2023,241,0.59,0.39,-2.6,1.99
NSE,EQUITY,BROADER,Nifty 50,DSP Mutual Fund,DSP Nifty 50 ETF,Nifty 50 TRI,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/nifty-50/dnyet-direct-growth#schemeFundDetails,NIFTY50ADD,543440,INF740KA1CL0,30-12-2021,160,0.07,0.02,-0.01,3.87
BSE,EQUITY,BROADER,BSE Sensex,DSP Mutual Fund,DSP BSE Sensex ETF,S&P BSE Sensex TRI,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/s-p-bse-sensex-etf/dspbs-direct-growth,SENSEXADD,543947,INF740KA1SZ6,02-08-2023,8.46,0.08,0.02,0.27,2.3
NSE,EQUITY,STRATEGIC,Nifty Midcap 150 Factor Indices,DSP Mutual Fund,DSP Nifty Midcap 150 Quality 50 ETF,Nifty Midcap 150 Quality 50 TRI,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/nifty-midcap-150-quality-50/dnmcf-direct-growth#schemeFundDetails,MIDQ50ADD,,INF740KA1QL0,30-12-2021,104.35,0.3,0.09,-0.25,3.91
NSE,EQUITY,STRATEGIC,Nifty 500 Factor Indices,DSP Mutual Fund,DSP Nifty500 Flexicap Quality 30 ETF,Nifty 500 Flexicap Quality 30 TRI,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/dsp-nifty500-flexicap-quality-30-etf/dnfqe-direct-growth,FLEXIADD,544581,INF740KA1WU9,16-10-2025,10.33,0.31,0.01,0.14,0.13
NSE,EQUITY,STRATEGIC,Nifty 50 Factor Indices,DSP Mutual Fund,DSP Nifty 50 Equal Weight ETF,Nifty 50 Equal Weight TRI,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/nifty-50-equal-weight/dnew-direct-daily-idcw,EQUAL50ADD,543388,INF740KA1QK2,08-11-2021,609.68,0.2,0.03,-0.37,4.08
NSE,EQUITY,SECTORAL,BANK,DSP Mutual Fund,DSP Nifty Bank ETF,Nifty Bank TRI,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/nifty-bank-etf/dsnbe-direct-growth,BANKETFADD,543738,INF740KA1RX3,06-01-2023,727.27,0.15,0.02,-0.15,2.92
NSE,EQUITY,SECTORAL,HEALTHCARE,DSP Mutual Fund,DSP Nifty Healthcare ETF,Nifty Healthcare TRI,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/nifty-healthcare-etf/dnhce-direct-growth,HEALTHADD,544109,INF740KA1UF4,07-02-2024,11.12,0.2,0.03,-0.27,1.83
NSE,EQUITY,SECTORAL,IT,DSP Mutual Fund,DSP Nifty IT ETF,NIFTY IT TRI,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/nifty-it-etf/dsnit-direct-growth,ITETFADD,543935,INF740KA1SX1,13-07-2023,43.87,0.2,0.05,-0.31,2.4
NSE,EQUITY,SECTORAL,PRIVATE BANK,DSP Mutual Fund,DSP Nifty Private Bank ETF,Nifty Private Bank TRI,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/nifty-private-bank-etf/dnpbe-direct-growth#schemeFundDetails,PVTBANKADD,543949,INF740KA1TA7,02-08-2023,442.56,0.16,0.03,-0.16,2.35
NSE,EQUITY,SECTORAL,PSU BANK,DSP Mutual Fund,DSP Nifty PSU Bank ETF,Nifty PSU Bank TRI,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/nifty-psu-bank-etf/dpsub-direct-growth,PSUBANKADD,543948,INF740KA1SY9,02-08-2023,178.96,0.15,0.09,-0.44,2.35
