etf_id,assetid,subclassid,sub_subclassid,amcid,ETF,SYMBOL,isin_code,Holding,Amount,,
11,,,,,,,INF247L01FL1,Oil And Natural Gas Corporation Ltd,6.56,,
11,,,,,,,INF247L01FL1,Rail Vikas Nigam Limited,4.57,,
11,,,,,,,INF247L01FL1,Power Finance Corporation Ltd,3.65,,
11,,,,,,,INF247L01FL1,Tata Power Co. Ltd,3.59,,
11,,,,,,,INF247L01FL1,KALPATARU PROJECTS INTERNATIONAL LIMITED,3.39,,
12,4,8,,25,DSP BSE Liquid Rate ETF,LIQUIDADD,INF740KA1UM0,TREPS,99.37,,
12,,,,,,,INF740KA1UM0,Net Receivables / Payables,0.63,,
13,4,8,,9,ICICI Prudential BSE Liquid Rate ETF-Growth,CASHIETF,INF109K1A021,TREPS,99.52,,
13,,,,,,,INF109K1A021,Net Current Assets,0.48,,
14,1,4,73,15,Motilal Oswal S&P BSE Low Volatility ETF,MOLOWVOL,INF247L01BL0,AIA Engineering Ltd.,4.16,Small Cap,4.16
14,,,,,,,INF247L01BL0,ITC Ltd,4.02,Large Cap,33.18
14,,,,,,,INF247L01BL0,HDFC Bank Ltd.,3.87,,
14,,,,,,,INF247L01BL0,Nestle India Ltd.,3.73,,
14,,,,,,,INF247L01BL0,State Bank of India,3.73,,
14,,,,,,,INF247L01BL0,Reliance Industries Ltd,3.65,,
14,,,,,,,INF247L01BL0,Axis Bank Ltd.,3.58,,
14,,,,,,,INF247L01BL0,Asian Paints Ltd.,3.55,,
14,,,,,,,INF247L01BL0,Maruti Suzuki India  Ltd.,3.53,,
14,,,,,,,,ICICI Bank Ltd.,3.52,,
15,1,1,12,9,ICICI Prudential BSE Midcap Select ETF,MIDSELIETF,INF109KC10W0,Persistent Systems Limited,5.32,Mid Cap,46.27
15,,,,,,,INF109KC10W0,Suzlon Energy Ltd.,5.13,,
15,,,,,,,INF109KC10W0,COFORGE LIMITED,5.03,,
15,,,,,,,INF109KC10W0,Federal Bank Ltd.,5,,
15,,,,,,,INF109KC10W0,PB Fintech Limited,4.8,,
15,,,,,,,INF109KC10W0,Dixon Technologies (India) Limited,4.73,,
15,,,,,,,INF109KC10W0,AU Small Finance Bank Limited,4.21,,
15,,,,,,,INF109KC10W0,IDFC FIRST BANK LIMITED,4.17,,
15,,,,,,,INF109KC10W0,Ashok Leyland Ltd.,4.09,,
15,,,,,,,INF109KC10W0,One 97 Communications Limited,3.79,,
16,1,2,27,6,Groww BSE Power ETF,GROWWPOWER,INF666M01LM6,NTPC Ltd,21.33,Large Cap,69.33
16,,,,,,,INF666M01LM6,Power Grid Corp Of India Ltd,16.9,Mid Cap,14.1
16,,,,,,,INF666M01LM6,Suzlon Energy Ltd.,8.95,,
16,,,,,,,INF666M01LM6,Tata Power Co. Ltd,8.91,,
16,,,,,,,INF666M01LM6,Adani Power Limited,7.82,,
16,,,,,,,INF666M01LM6,CG Power and Industrial Solutions Limited,6.27,,
16,,,,,,,INF666M01LM6,Bharat Heavy Electricals Ltd.,5.15,,
16,,,,,,,INF666M01LM6,Adani Green Energy Limited,4.34,,
16,,,,,,,INF666M01LM6,GE Vernova T&D India Limited,,,
16,,,,,,,INF666M01LM6,ABB India Limited,3.76,,
